time,close,open,high,low,VWAP,Volume,Volume MA,Upper Band,Lower Band,EMA 1,EMA 2,EMA 3,EMA 4,MA 1,MA 2,Shapes,Shapes,Super Trend Current Time Frame,Super Trend Higher Time Frame,Dynamic Super Trend Higher Time Frame,Current TF Up Super Trend Change,Current TF Down Super Trend Change,Higher TF Down Super Trend Change,Higher TF Down Super Trend Change,Dynamic Higher TF Down Super Trend,Dynamic Higher TF Down Super Trend,Plot,Up Trend,Down Trend,100 EMA plot,Trend Indicator,Long plot,Short plot,SuperTrend 1,SuperTrend 2,Close,SuperTrend,SuperTrend x2,Up Arrow,Down Arrow,Up Arrow,Down Arrow,Plot,Up Trend,Down Trend,Upper,Basis,Lower,Basis,Upper,Lower,Basis,Upper,Lower,MF,MF,Plot,ATR,ADX,Plot,Plot,OnBalanceVolume,Plot,EMA of vfi,vfi,Plot,Delta Time,Plot,RSI
2019-10-26T16:00:00-04:00,9232.22,9004,9300.73,9001.87,9363.20886,13282.039,25661.44845,9551.331559,9175.08616,8479.139837,8208.407004,8209.229708,8544.586453,8167.2642,8220.24545,1,0,8628.290124,8161.242306,7976.272848,0,0,0,0,0,0,9118.11,8363.928901,0,8209.229708,7796.768387,0,0,8493.808,7925.951066,0,8363.928901,7228.69809,0,0,0,0,9118.11,8481.593857,0,8897.977701,8501.413178,8104.848654,8790.62,10408.48,7172.76,8161.811,9824.915489,6498.706511,81.03752402,0.133700443,1117.327882,346.1361769,47.3116588,1053.621882,0,82922.582,0,-0.116736759,0.35722398,13.28333678,100,6032.134723,69.69911089
2019-10-26T20:00:00-04:00,9136.84,9234.75,9385,9101,9207.613333,11883.704,25170.06105,9207.613333,9207.613333,8538.930761,8241.565325,8227.598229,8550.479523,8173.3863,8216.90415,0,0,8628.290124,8161.242306,7976.272848,0,0,0,0,0,0,9185.795,8363.928901,0,8227.598229,7886.811475,0,0,8618.2,8161.034044,0,8363.928901,7228.69809,0,0,0,0,9185.795,8481.593857,0,8947.238089,8561.930018,8176.621947,8872.96,10408.48,7337.44,8244.7005,9928.546591,6560.854409,81.22582396,0.088246631,1024.890235,341.6978785,47.45482057,1069.007221,0,71038.878,0,-0.066572922,0.159164345,11.88486515,100,6826.613822,66.76596425
2019-10-27T00:00:00-04:00,9158,9136.83,9229.98,9066.07,9186.793661,6980.51,24943.19175,9213.958443,9159.628878,8595.209783,8274.295135,8246.022026,8556.524503,8179.6055,8214.18435,0,0,8628.290124,8161.242306,7976.272848,0,0,0,0,0,0,9147.415,8363.928901,0,8246.022026,8032.614121,0,0,8787.423,8273.731696,0,8363.928901,7228.69809,0,0,0,0,9147.415,8481.593857,0,8981.866852,8618.698588,8255.530323,8872.96,10408.48,7337.44,8329.3505,10018.11093,6640.59007,80.9765523,0.080504585,984.0408824,328.9987443,47.44007831,1065.943025,0,78019.388,0,0.057801526,0.617486544,6.981192062,100,6703.991022,67.09678135
2019-10-27T04:00:00-04:00,9283.98,9158.01,9666,9157.25,9302.802903,33020.958,26018.5714,9392.003022,9213.602784,8657.825257,8310.355309,8266.575649,8563.762866,8186.9191,8212.0107,0,0,8628.290124,8161.242306,7976.272848,0,0,0,0,0,0,9220.995,8363.928901,0,8266.575649,8032.614121,0,0,8787.423,8353.929464,0,8363.928901,7228.69809,0,0,0,0,9220.995,8481.593857,0,9059.78516,8682.058722,8304.332284,8872.96,10408.48,7337.44,8423.146,10105.17851,6741.113494,82.1433082,0.061626753,981.5131471,341.8381197,48.01768321,1059.718861,0,111040.346,0,0.330311054,1.556603931,33.02418446,100,7421.937883,69.07076978
2019-10-27T08:00:00-04:00,9530.21,9284.77,9624.53,9215,9370.42255,40721.459,27408.53725,9471.83189,9269.013211,8737.132961,8353.921548,8291.598112,8573.379255,8196.661,8210.8834,0,0,8628.290124,8161.242306,7976.272848,0,0,0,0,0,0,9407.49,8363.928901,0,8291.598112,8032.614121,0,0,8787.423,8353.929464,0,8363.928901,7228.69809,0,0,0,0,9407.49,8481.593857,0,9143.741828,8762.835034,8381.92824,8883.74,10408.48,7359,8528.742,10210.34906,6847.134937,84.94224555,0.082719935,1018.405941,346.6732541,48.55403063,1075.582429,0,151761.805,0,0.82671916,3.060555635,40.72543788,100,8027.072642,72.53856534
2019-10-27T12:00:00-04:00,9719.99,9531.36,9803.83,9381.34,9451.884779,41185.795,28882.9316,9600.341701,9303.427857,8826.483601,8402.709707,8319.8831,8584.788317,8208.3483,8210.8529,0,0,8728.446719,8161.242306,7976.272848,0,0,0,0,0,0,9625.675,8437.389656,0,8319.8831,8100.609388,0,0,8787.423,8473.355428,0,8437.389656,7282.194312,0,0,0,0,9625.675,8486.993642,0,9239.057765,8853.99265,8468.927535,8883.74,10408.48,7359,8643.7915,10320.80243,6966.780569,85.8529314,0.126343051,1065.333676,352.0887359,49.27325883,1099.966486,0,192947.6,0,1.688620398,5.567175967,41.18981925,100,8644.407658,74.87662957
2019-10-27T16:00:00-04:00,9533.32,9720.04,9768.82,9430,9474.714613,29751.593,29669.07005,9617.451848,9331.977377,8890.741455,8443.088646,8343.911553,8594.226444,8219.8289,8210.8695,0,0,8748.464417,8161.242306,7976.272848,0,0,0,0,0,0,9626.68,8458.08819,0,8343.911553,8138.338047,0,0,8854.006,8537.024952,0,8458.08819,7316.766381,0,0,0,0,9626.68,8501.246256,0,9299.131096,8918.690493,8538.24989,8883.74,10408.48,7359,8748.812,10371.54236,7126.081637,79.64733956,0.113698432,1095.722147,351.1409691,49.94111358,1063.585829,0,163196.007,0,2.589046692,6.640965019,72.23751053,100,8622.723209,68.68239805
2019-10-27T20:00:00-04:00,9631.12,9534.37,9930.13,9531.99,9697.746667,36414.73,31012.1071,9697.746667,9697.746667,8958.048596,8485.518337,8369.400829,8604.543792,8233.1813,8217.24605,0,0,8877.340815,8161.242306,7976.272848,0,0,0,0,0,0,9582.745,8584.428371,0,8369.400829,8138.338047,0,0,8855.152,8651.205968,0,8584.428371,7437.796743,0,0,0,0,9582.745,8624.874901,0,9368.751465,8986.540922,8604.330379,8883.74,10408.48,7359,8857.02,10410.55871,7303.481292,78.3677121,0.063923378,1168.686353,354.4980427,50.76144203,1024.829661,0,199610.737,0,3.569990278,7.984236411,88.41575111,100,9178.29695,70.07898039
2019-10-28T00:00:00-04:00,9447.25,9630.95,9693.23,9282.12,9596.769595,29999.714,32161.9275,9708.020297,9485.518893,9002.521451,8519.865896,8390.744377,8612.928929,8244.2438,8222.00315,0,0,8877.340815,8161.242306,7976.272848,0,0,0,0,0,0,9539.1,8584.428371,0,8390.744377,8138.338047,0,0,8855.152,8651.205968,0,8584.428371,7437.796743,0,0,0,0,9539.1,8624.874901,0,9415.518466,9030.417977,8645.317489,8883.74,10408.48,7359,8958.815,10381.38857,7536.241427,72.58761784,0.062490199,1146.832382,358.5417539,50.35265406,924.3063214,0,169611.023,0,4.263797218,7.385928451,72.83995368,100,8912.00914,64.27560181
2019-10-28T04:00:00-04:00,9425,9447.25,9486.14,9282.83,9552.295093,19142.267,32735.16685,9680.631454,9423.958732,9040.928592,8552.192114,8411.224686,8621.009238,8255.0842,8226.3001,0,0,8877.340815,8161.242306,7976.272848,0,0,0,0,0,0,9436.125,8584.428371,0,8411.224686,8239.277983,0,0,8937.203,8651.205968,0,8584.428371,7437.796743,0,0,0,0,9436.125,8624.874901,0,9434.918657,9067.997217,8701.075778,8883.74,10408.48,7359,9058.1575,10309.24548,7807.069524,62.10178187,0.070537963,1104.640794,347.4537715,49.97306523,802.2973929,0,150468.756,0,4.77068998,7.051707407,46.47783781,100,8742.657839,63.58935338
